N_3 Number_of_polymers
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 1
25 6
26 23
27 34
28 94
29 192
30 344
31 643
32 1064
33 1435
34 1903
35 2199
36 2297
37 2227
38 1937
39 1448
40 1096
41 743
42 445
43 198
44 108
45 39
46 16
47 7
48 1
49 0
50 0
51 0
52 0
53 0
54 0
55 0
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 0
71 0
72 0
73 0
74 0
75 0
76 0
77 0
78 0
79 0
