N_3 Number_of_polymers
0 8
1 119
2 818
3 2680
4 5150
5 6705
6 5926
7 3908
8 1815
9 656
10 174
11 35
12 5
13 1
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
