N_3 Number_of_polymers
0 0
1 0
2 0
3 0
4 0
5 5
6 21
7 124
8 431
9 1173
10 2438
11 3958
12 4943
13 5229
14 4457
15 2960
16 1589
17 744
18 309
19 95
20 18
21 4
22 1
23 1
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
