N_3 Number_of_polymers
0 0
1 27
2 422
3 2018
4 5553
5 9188
6 9812
7 6915
8 3268
9 1037
10 230
11 28
12 2
13 0
14 0
15 0
16 0
17 0
18 0
19 0
