N_3 Number_of_polymers
0 0
1 0
2 2
3 32
4 292
5 1350
6 3879
7 7421
8 9344
9 8016
10 4654
11 1897
12 514
13 86
14 13
15 0
16 0
17 0
18 0
19 0
