N_3 Number_of_polymers
0 0
1 0
2 6
3 42
4 283
5 1025
6 2533
7 4360
8 5654
9 5491
10 4295
11 2503
12 1179
13 453
14 140
15 27
16 6
17 3
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
