N_3 Number_of_polymers
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 14
21 74
22 234
23 677
24 1602
25 2905
26 4409
27 5403
28 5240
29 4021
30 2351
31 1064
32 396
33 90
34 19
35 0
36 1
37 0
38 0
39 0
