N_3 Number_of_polymers
0 0
1 0
2 0
3 0
4 0
5 0
6 1
7 8
8 48
9 347
10 1353
11 3970
12 7783
13 9707
14 7942
15 3724
16 1001
17 110
18 6
19 0
