Polymer_Index R_g^2 N_3 Sample_Time(10^(-6)s)
0 123.049 32621 34629
1 155.934 32601 34067
2 360.613 32588 33678
3 198.002 32608 34312
4 98.0918 32619 33865
5 84.3077 32627 33942
6 116.858 32610 33864
7 107.728 32616 34022
8 195.198 32614 34012
9 238.953 32623 34257
10 169.226 32621 34142
11 139.15 32609 34289
12 307.856 32621 33781
13 208.874 32601 34179
14 128.873 32601 34012
15 232.534 32598 34371
16 147.792 32602 34177
17 152.338 32609 34579
18 131.992 32624 34208
19 144.148 32604 34093
20 216.525 32611 33884
21 209.141 32615 34326
22 206.854 32622 33986
23 179.161 32609 33874
24 195.302 32618 34561
25 184.065 32609 34231
26 160.369 32611 33586
27 260.991 32601 34104
28 185.052 32611 34270
29 127.895 32621 34123
30 260.395 32608 34154
31 114.801 32600 34387
32 129.867 32605 33893
33 168.973 32607 33818
34 125.399 32619 34026
35 167.374 32614 34090
36 140.551 32623 34204
37 169.907 32617 34279
38 134.136 32626 33949
39 124.835 32614 34086
40 158.984 32615 34482
41 184.863 32620 34212
42 137.256 32614 34133
43 310.449 32621 34027
44 87.0679 32589 34450
45 122.636 32609 34054
46 123.683 32608 34063
47 180.277 32622 34390
48 253.967 32621 33958
49 120.577 32610 34371
50 130.87 32611 33817
51 104.601 32610 34366
52 204.12 32596 34527
53 126.837 32598 34064
54 197.011 32612 33730
55 121.305 32607 34032
56 141.751 32621 34335
57 150.84 32620 33959
58 148.756 32618 34128
59 144.872 32607 34300
60 196.588 32630 34201
61 298.137 32606 33821
62 156.36 32627 34372
63 104.015 32608 34459
64 95.012 32610 34518
65 202.123 32593 33945
66 127.779 32618 34307
67 132.097 32606 34376
68 133.461 32618 33995
69 162.496 32594 33853
70 170.789 32613 34235
71 106.154 32627 34652
72 159.717 32608 34166
73 129.794 32597 34499
74 145.861 32608 34574
75 103.561 32606 34249
76 419.202 32595 33862
77 168.448 32622 34826
78 159.67 32603 34070
79 142.245 32603 33945
80 147.763 32622 33796
81 115.693 32597 34682
82 123.734 32613 34329
83 204.797 32605 34003
84 129.611 32604 33875
85 124.952 32608 34175
86 223.706 32615 33899
87 161.304 32607 34550
88 75.9693 32592 33947
89 114.992 32612 34041
90 191.874 32612 34447
91 114.295 32615 34145
92 110.912 32617 34472
93 122.45 32622 34410
94 226.233 32599 34172
95 263.172 32600 34291
96 144.602 32621 34041
97 147.983 32607 33908
98 270.579 32612 33886
99 109.009 32630 33979
100 188.243 32610 34077
101 127.716 32607 34431
102 161.126 32621 34146
103 125.767 32615 33928
104 166.103 32611 34696
105 311.648 32604 34187
106 96.9203 32620 34170
107 125.799 32616 34328
108 124.656 32607 35021
109 129.445 32621 34345
110 104.596 32601 34488
111 114.011 32606 34257
112 155.922 32610 34090
113 150.09 32614 34075
114 119.664 32602 34831
115 226.269 32609 34230
116 99.2177 32628 34306
117 270.444 32624 34005
118 249.55 32619 34368
119 107.357 32601 34595
120 157.333 32609 34007
121 119.297 32627 34710
122 139.169 32612 34055
123 96.5299 32592 34414
124 85.2416 32597 34671
125 135.559 32619 34257
126 125.174 32613 34149
127 151.287 32615 34291
128 85.0181 32610 33947
129 146.892 32603 34375
130 117.032 32633 34698
131 238.93 32614 34475
132 161.34 32605 34257
133 476.322 32603 33867
134 125.566 32601 34846
135 126.304 32606 34234
136 171.301 32602 34313
137 189.982 32603 34279
138 266.105 32603 34202
139 121.99 32610 34621
140 324.563 32614 34271
141 128.484 32612 33991
142 140.213 32607 34467
143 116.352 32608 34247
144 106.788 32608 34584
145 106.258 32614 34362
146 137.543 32614 34103
147 158.758 32615 33835
148 122.56 32614 34338
149 83.3566 32607 34430
150 184.959 32599 34605
151 103.758 32599 34619
152 157.942 32612 33948
153 141.652 32610 34483
154 83.7275 32602 34379
155 223.933 32608 34086
156 126.339 32616 34164
157 163.108 32610 33455
158 164.095 32604 33581
159 137.887 32618 33510
160 203.306 32616 34207
161 195.524 32618 34438
162 140.21 32604 34396
163 150.549 32604 34506
164 115.102 32618 34438
165 125.06 32595 34647
166 132.865 32610 34267
167 204.997 32625 34523
168 143.609 32617 34564
169 240.882 32623 34700
170 84.2899 32616 34714
171 70.1729 32608 34277
172 130.516 32610 33670
173 168.412 32612 34483
174 173.627 32607 34480
175 100.864 32616 33778
176 86.0432 32608 33966
177 169.744 32603 34241
178 181.738 32624 33767
179 118.502 32611 34240
180 104.51 32612 34355
181 242.065 32584 34180
182 248.446 32614 34090
183 119.962 32595 34216
184 155.909 32601 33736
185 145.399 32595 34536
186 139.727 32612 34477
187 124.28 32616 34278
188 284.172 32603 34052
189 143.227 32619 34340
190 118.945 32619 34615
191 127.246 32612 34512
192 128.101 32617 33736
193 227.619 32623 34477
194 103.316 32606 34617
195 134.356 32610 34180
196 231.145 32620 34557
197 123.327 32596 34800
198 114.635 32621 34314
199 142.867 32605 34430
200 105.464 32603 34758
201 134.466 32613 34089
202 147.308 32607 34403
203 191.488 32599 34016
204 186.482 32621 33907
205 138.066 32629 34158
206 171.417 32602 34370
207 137.137 32616 34495
208 83.5849 32604 34773
209 133.258 32615 34104
210 183.868 32617 34135
211 153.477 32606 33870
212 141.785 32613 34354
213 83.9082 32604 34427
214 147.859 32596 34276
215 239.486 32611 34538
216 128.155 32617 34292
217 152.588 32612 34096
218 163.51 32611 33903
219 125.259 32612 34122
220 104.364 32608 34511
221 89.4367 32609 34719
222 225.679 32614 33887
223 211.498 32628 34083
224 68.0781 32624 34604
225 134.908 32601 34430
226 153.132 32623 34254
227 111.643 32618 34634
228 110.584 32611 34329
229 186.662 32606 34373
230 186.171 32610 34551
231 110.477 32612 34427
232 234.451 32596 34640
233 188.347 32600 33890
234 108.308 32604 34042
235 273.847 32614 34085
236 103.974 32628 34074
237 116.151 32619 34522
238 161.658 32613 34054
239 116.245 32617 33894
240 121.365 32612 34651
241 245.208 32620 34147
242 134.169 32617 34472
243 236.139 32608 34402
244 136.643 32607 33892
245 185.877 32607 34270
246 154.149 32625 34182
247 92.3759 32618 34003
248 257.404 32603 34745
249 156.625 32622 34177
250 167.95 32616 33884
251 211.732 32595 34324
252 134.539 32617 33785
253 91.5733 32621 34042
254 141.904 32603 34478
255 117.178 32602 34201
256 150.478 32610 34369
257 119.947 32603 34243
258 131.104 32621 34104
259 178.401 32602 34509
260 95.0436 32621 33844
261 120.603 32609 34294
262 149.267 32607 34344
263 139.939 32611 34663
264 89.2528 32609 34128
265 299.384 32630 33997
266 183.828 32610 34132
267 397.889 32617 34010
268 255.778 32602 33870
269 126.279 32604 34185
270 232.662 32618 34448
271 67.5568 32618 34949
272 119.74 32615 34757
273 137.859 32613 34148
274 116.405 32619 34224
