Polymer_Index R_g^2 N_3 Sample_Time(10^(-6)s)
0 72.8305 15482 16446
1 146.867 15465 16332
2 93.3825 15496 16385
3 131.173 15452 16514
4 90.7452 15521 16466
5 99.2675 15465 16429
6 124.014 15463 16493
7 111.713 15451 16751
8 68.6961 15511 16508
9 133.301 15510 16520
10 80.5814 15510 16548
11 195.55 15484 16442
12 139.878 15497 16513
13 213.846 15463 16532
14 170.092 15478 16546
15 119.692 15496 16619
16 116.538 15471 16565
17 74.1641 15527 16571
18 97.6977 15523 16336
19 75.4716 15521 16434
20 88.6388 15495 16570
21 271.027 15498 16437
22 151.404 15443 16531
23 144.371 15454 16557
24 87.7208 15466 16680
25 112.239 15479 16593
26 78.753 15454 16441
27 109.96 15467 16389
28 127.254 15472 16513
29 78.2319 15491 16463
30 186.533 15442 16670
31 97.8593 15418 16768
32 81.847 15474 16478
33 113.95 15524 16510
34 91.5704 15466 16430
35 142.197 15507 16544
36 77.6062 15497 17025
37 162.093 15504 16659
38 129.111 15484 16508
39 202.388 15469 16571
40 132.109 15540 16572
41 99.0672 15454 16476
42 69.7075 15495 16649
43 69.7284 15499 16385
44 100.997 15517 16523
45 79.7668 15482 16349
46 115.182 15492 16388
47 75.4398 15501 16465
48 98.857 15451 16516
49 87.2258 15480 16500
50 80.8438 15506 16412
51 135.224 15490 16381
52 119.747 15464 16357
53 208.833 15476 16405
54 73.767 15529 16707
55 80.8408 15476 16484
56 147.776 15497 16547
57 71.7694 15483 16585
58 124.552 15480 16795
59 133.965 15500 16525
60 86.4093 15477 16704
61 72.4124 15470 16532
62 105.368 15448 16472
63 122.619 15477 16315
64 125.702 15505 16667
65 144.939 15487 16408
66 100.337 15454 16541
67 227.154 15491 16354
68 94.6868 15503 16432
69 141.79 15431 16353
70 92.9616 15452 16356
71 75.2742 15485 16444
72 68.6561 15520 16610
73 117.096 15515 16374
74 92.1689 15476 16596
75 64.1396 15484 16469
76 81.0649 15481 16624
77 80.1377 15442 16532
78 121.829 15486 16575
79 107.009 15483 16522
80 130.097 15449 16432
81 163.472 15487 16516
82 127.448 15524 16347
83 119.28 15471 16512
84 115.837 15474 16449
85 78.5476 15491 16600
86 155.518 15509 16527
87 84.1108 15457 16637
88 94.3855 15482 16537
89 191.11 15463 16538
90 84.7247 15479 16558
91 72.0961 15504 16584
92 49.6667 15513 16523
93 136.109 15491 16763
94 108.09 15480 16562
95 137.321 15512 16804
96 68.731 15493 16697
97 124.883 15447 16595
98 119.985 15497 16615
99 59.9292 15526 16547
100 81.7211 15464 16477
101 118.31 15494 16748
102 127.394 15503 16723
103 104.296 15476 16685
104 105.405 15500 16485
105 137.557 15506 16472
106 212.243 15510 16453
107 123.883 15480 16516
108 73.8132 15494 16712
109 106.061 15449 16482
110 103.691 15497 16578
111 129.74 15487 16532
112 131.317 15485 16605
113 79.1686 15529 16477
114 77.2361 15507 15693
115 98.449 15493 16641
116 113.354 15498 16506
117 146.239 15484 16436
118 134.903 15493 16593
119 124.407 15494 16530
120 152.524 15480 16462
121 162.594 15485 16427
122 124.39 15488 16433
123 92.6933 15509 16582
124 108.614 15477 16618
125 123.064 15483 16359
126 113.684 15460 16541
127 101.653 15453 16479
128 115.04 15530 16456
129 177.957 15499 16355
130 120.122 15512 16550
131 92.2058 15487 16337
132 75.1906 15474 16354
133 127.629 15457 16451
134 81.2813 15513 16289
135 394.424 15483 16367
136 88.3428 15447 16867
137 76.9964 15483 16780
138 76.0114 15470 16618
139 67.5559 15509 16872
140 135.641 15456 16540
141 116.322 15503 16498
142 139.949 15513 16588
143 151.878 15495 16691
144 87.4608 15494 16445
145 164.716 15504 16453
146 282.509 15463 16497
147 78.9284 15530 16501
148 109.853 15508 16554
149 70.7038 15456 16811
150 74.7241 15493 16546
151 198.59 15498 16548
152 95.8888 15508 16389
153 148.989 15513 16363
154 75.9546 15510 16654
155 139.646 15526 16519
156 51.6211 15468 16409
157 136.188 15470 16460
158 122.504 15508 16444
159 94.2933 15502 16476
160 64.9684 15482 16536
161 118.044 15468 16676
162 228.117 15487 16454
163 137.307 15451 15794
164 273.064 15470 16630
165 96.6141 15486 16582
166 104.28 15478 16605
167 136.499 15468 16502
168 101.474 15491 16454
169 62.9395 15508 16555
170 214.891 15491 16326
171 93.3262 15479 16297
172 137.865 15475 16549
173 137.898 15509 16507
174 67.8883 15480 16384
175 136.485 15467 16471
176 143.289 15515 16436
177 98.325 15507 16460
178 124.554 15449 16460
179 89.8885 15481 16589
180 136.321 15478 16745
181 128.373 15461 16611
182 135.046 15466 16476
183 75.9821 15530 16515
184 141.188 15453 16394
185 212.306 15490 16397
186 176.284 15467 16562
187 118.603 15457 16560
188 166.635 15473 16590
189 121.878 15468 16613
190 121.808 15480 16554
191 75.4664 15497 16387
192 153.206 15497 16493
193 97.8309 15501 16558
194 87.4099 15479 16629
195 92.3163 15482 16782
196 78.385 15482 16615
197 108.66 15434 16426
198 286.264 15455 16296
199 116.794 15486 16344
200 117.952 15497 16423
201 92.2377 15520 16986
202 88.3705 15490 16665
203 66.843 15438 16527
204 67.5648 15458 16476
205 126.805 15465 16579
