N_3 Number_of_polymers
0 0
1 0
2 0
3 0
4 0
5 4
6 23
7 153
8 497
9 1316
10 2630
11 4280
12 5280
13 5148
14 4105
15 2737
16 1431
17 571
18 226
19 70
20 27
21 2
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
