Polymer_Index R_g^2 N_3 Sample_Time(10^(-6)s)
0 30.2415 611 811
1 31.2815 591 814
2 30.685 613 821
3 30.2443 601 789
4 30.5367 599 783
5 43.4213 599 850
6 32.5446 591 805
7 38.8983 594 841
8 25.075 594 800
9 39.2586 599 844
10 20.9708 591 831
11 21.4977 621 833
12 26.6403 594 816
13 44.523 600 838
14 34.8111 592 808
15 62.2893 586 801
16 39.5182 596 781
17 41.4148 604 849
18 32.8065 610 846
19 24.9648 603 806
20 23.0691 608 834
21 25.2313 595 804
22 35.3602 603 847
23 42.3431 595 850
24 36.6851 585 840
25 22.1807 605 831
26 32.5696 612 812
27 25.4484 583 868
28 27.8236 604 819
29 20.2618 597 888
30 38.7838 598 841
31 21.8645 602 867
32 21.9869 582 792
33 43.7148 605 844
34 20.8241 600 842
35 36.7517 593 795
36 33.1571 604 789
37 20.8453 601 773
38 42.9603 586 775
39 28.7089 604 830
40 34.37 584 810
41 33.3637 608 834
42 18.0789 599 824
43 19.7057 610 820
44 23.5093 607 816
45 39.4995 587 838
46 41.0117 597 823
47 31.5237 609 848
48 45.9368 585 802
49 49.8961 601 792
50 56.6963 591 835
51 20.1048 601 790
52 34.3115 595 770
53 49.0357 603 789
54 43.3111 585 789
55 35.9377 575 783
56 35.4406 618 792
57 28.3499 587 772
58 23.3922 601 786
59 36.5447 577 790
60 18.7126 594 815
61 66.6393 589 827
62 45.0666 598 818
63 31.5838 617 817
64 45.0776 573 778
65 27.8897 615 785
66 29.6875 619 799
67 32.3746 589 845
68 26.572 599 833
69 41.4585 594 838
70 23.7932 594 839
71 62.7406 611 835
72 23.9321 585 839
73 21.4546 603 828
74 29.8115 618 818
75 32.1188 612 810
76 28.1007 585 847
77 39.9246 592 843
78 49.3995 574 872
79 39.2045 588 848
80 30.2073 595 833
81 28.8847 605 860
82 32.6787 627 798
83 43.2426 599 835
84 25.424 594 854
85 27.729 593 818
86 54.5873 621 841
87 26.3431 576 823
88 37.4706 604 833
89 44.9015 595 815
90 39.2863 602 823
91 27.756 579 846
92 35.7367 625 852
93 41.6738 618 834
94 29.1465 603 820
95 45.5147 601 870
96 44.5559 617 818
97 34.0245 600 838
98 25.9367 593 826
99 21.1423 607 862
100 62.212 603 845
101 27.9011 600 816
102 21.8132 602 823
103 20.4177 612 818
104 26.039 601 792
105 30.3159 593 836
106 22.2223 589 867
107 60.5009 595 787
108 41.3176 599 810
109 42.116 607 856
110 37.4344 585 840
111 30.4297 585 806
112 39.1753 612 817
113 55.4486 591 832
114 49.9871 573 802
115 32.7905 610 831
116 30.6457 587 834
117 31.1889 580 818
118 31.2113 591 792
119 104.294 610 862
120 26.4984 584 815
121 44.5742 595 805
122 33.6991 600 804
123 32.7475 590 819
124 24.2499 599 796
125 30.0935 597 776
126 28.9221 609 885
127 54.7028 607 790
128 38.0588 589 815
129 25.893 589 799
130 31.1668 596 814
