Polymer_Index R_g^2 N_3 Sample_Time(10^(-6)s)
0 48.7291 4092 3654
1 38.8365 4094 3800
2 54.7935 4094 3773
3 54.7158 4094 3816
4 29.6985 4092 3779
5 42.3038 4094 3807
6 110.526 4093 3817
7 70.8223 4093 3795
8 41.9464 4093 3765
9 67.5113 4092 3709
10 39.7334 4094 3774
11 105.104 4094 3816
12 59.7249 4094 3741
13 48.3725 4091 3791
14 54.2261 4094 3878
15 43.9627 4094 3799
16 42.9137 4093 3697
17 49.2309 4094 3715
18 80.6134 4092 3724
19 43.63 4092 3702
20 30.8313 4094 3931
21 80.8344 4091 3767
22 44.146 4095 3823
23 71.8496 4092 3840
24 47.822 4094 3673
25 45.0154 4092 3835
26 42.2605 4094 3780
27 66.3839 4095 3776
28 37.7705 4094 3643
29 57.4553 4093 3749
30 27.4828 4094 3711
31 61.2239 4093 3697
32 38.9421 4092 3737
33 80.8591 4094 3772
34 76.6836 4094 3678
35 69.2204 4093 3685
36 38.6813 4093 3673
37 50.2122 4093 3733
38 59.8974 4094 3691
39 31.1088 4093 3727
40 66.3856 4095 3781
41 49.0067 4093 3794
42 45.1153 4094 3702
43 37.4462 4093 3664
44 56.2068 4092 3809
45 53.0866 4094 3771
46 105.572 4092 3766
47 32.2574 4094 3867
48 91.6511 4094 3814
49 56.4141 4094 3682
50 48.2263 4092 3800
51 36.4451 4094 3697
52 35.2971 4093 3769
53 30.9819 4094 3866
54 82.8889 4095 3783
55 57.8093 4094 3675
56 46.9795 4092 3813
57 79.2473 4094 3767
58 53.3043 4091 3689
59 65.4615 4094 3677
60 69.7362 4092 3669
61 34.8122 4092 3675
62 34.9353 4093 3676
63 37.6956 4094 3863
64 76.0306 4094 3819
65 40.1339 4094 3775
66 47.497 4093 3819
67 38.1091 4093 3748
68 43.5344 4093 3832
69 89.1572 4093 3788
70 113.147 4093 3792
71 59.2834 4095 3674
72 44.1451 4094 3782
73 37.8035 4094 3711
74 43.4789 4095 3753
75 79.4352 4093 3663
76 37.5779 4093 3793
77 44.1274 4094 3700
78 45.1565 4093 3704
79 100.195 4093 3813
80 60.178 4093 3704
81 51.279 4093 3672
82 52.3809 4094 3696
83 47.101 4094 3835
84 57.4117 4094 3799
85 40.2738 4094 3686
86 46.7535 4095 3713
87 60.0949 4093 3760
88 74.9713 4093 3844
89 45.9668 4094 3814
90 63.7351 4091 3806
91 43.4252 4093 3818
92 66.0559 4093 3819
93 50.7265 4094 3809
94 34.5066 4095 3781
95 79.9559 4094 3692
96 57.116 4094 3789
97 62.0029 4092 3743
98 55.9024 4093 3833
99 44.7885 4093 3822
100 45.848 4093 3803
101 46.9306 4093 3694
102 46.2838 4093 3729
103 79.4895 4094 3736
104 48.46 4093 3754
105 57.4132 4094 3715
106 55.4447 4092 3866
107 36.1972 4093 3793
108 67.2605 4093 3799
109 60.1481 4093 3814
110 63.467 4093 3800
111 56.3664 4094 3795
112 40.5838 4093 3821
113 53.2503 4092 3769
114 36.06 4093 3774
115 29.1607 4093 3784
116 48.344 4094 3713
117 47.6148 4094 3700
118 44.8824 4094 3721
119 48.2947 4095 3793
120 30.5067 4094 3731
121 62.1327 4095 3744
122 75.2395 4093 3727
123 87.6407 4095 3688
124 57.1403 4091 3718
125 58.1929 4093 3714
126 62.0663 4092 3790
127 52.7268 4093 3836
128 55.1026 4093 3687
129 51.4016 4092 3719
130 66.8759 4094 3757
131 58.6596 4092 3764
132 38.5838 4094 3808
133 25.9982 4095 3807
134 47.2424 4093 3807
135 34.4538 4091 3814
136 62.8546 4093 3787
137 55.1256 4094 3702
138 55.9143 4093 3714
139 39.0949 4094 3856
140 145.674 4092 3799
141 49.3109 4095 3716
142 39.2679 4094 3795
143 67.6113 4093 3782
144 38.491 4094 3690
145 33.3201 4094 3727
146 69.1477 4094 3735
147 34.4509 4092 3713
148 73.6915 4094 3749
149 66.412 4093 3797
150 37.4547 4094 3818
151 50.9053 4093 3785
152 35.7547 4094 3857
153 25.391 4094 3684
154 38.1985 4093 3766
155 70.3365 4093 3806
156 34.8881 4093 3810
157 52.3472 4094 3842
158 47.8087 4093 3849
159 38.576 4093 3744
160 53.7594 4093 3703
161 91.6216 4094 3710
162 81.774 4093 3850
163 77.8494 4094 3743
164 73.1016 4094 3678
165 42.3769 4094 3722
166 48.3031 4094 3693
167 77.9369 4093 3742
168 45.4162 4093 3724
169 81.6267 4094 3824
170 41.0486 4094 3803
171 45.1902 4094 3702
172 36.595 4093 3729
173 83.1704 4093 3778
174 69.2151 4092 3776
175 47.8126 4095 3852
176 72.3609 4093 3772
177 34.6215 4093 3867
178 52.462 4094 3773
179 92.8648 4094 3775
180 45.1539 4094 3675
181 64.8367 4092 3710
182 44.3108 4093 3807
183 46.862 4094 3807
184 38.2819 4094 3701
185 95.0688 4093 3792
186 53.4216 4093 3807
187 41.2479 4093 3742
188 41.3072 4094 3720
189 46.4353 4094 3695
190 70.5299 4095 3751
191 69.4364 4093 3666
192 41.5378 4094 3800
193 47.8626 4093 3796
194 50.8965 4095 3808
195 64.7463 4094 3830
196 97.0559 4090 3719
197 62.9249 4094 3786
198 60.774 4093 3827
199 48.6103 4094 3820
200 30.4428 4093 3764
201 57.6747 4094 3807
202 48.886 4093 3823
203 144.096 4093 3775
204 26.1667 4094 3783
205 43.5636 4094 3813
206 89.996 4093 3751
207 40.664 4095 3716
208 93.7904 4092 3681
209 56.3186 4094 3656
210 75.2032 4093 3665
211 58.7084 4091 3776
212 43.746 4095 3840
213 38.4783 4093 3807
214 36.9798 4094 3610
215 73.1868 4094 3660
216 68.6802 4094 3783
217 70.0625 4093 3787
218 71.9952 4093 3751
219 74.9827 4092 3803
220 53.8279 4093 3790
221 51.2937 4093 3813
222 64.0622 4094 3785
223 42.3292 4093 3648
224 53.8183 4091 3663
225 110.845 4093 3772
226 73.476 4093 3773
227 58.1676 4093 3705
228 105.334 4094 3785
229 41.3012 4094 3761
230 46.2167 4094 3694
231 44.8911 4093 3714
232 59.8835 4094 3669
233 34.5199 4094 3696
234 66.0299 4093 3687
235 52.0071 4095 3817
236 56.9106 4093 3861
237 36.5241 4093 3791
238 38.8535 4092 3816
239 77.0105 4094 3650
240 49.7337 4093 3776
241 26.9464 4095 3803
242 49.7203 4094 3816
243 61.5648 4093 3680
244 39.6701 4092 3761
245 71.7992 4094 3667
246 73.1821 4094 3658
247 59.7086 4094 3657
248 46.971 4094 3794
249 33.0627 4093 3696
250 53.266 4094 3709
251 40.8206 4093 3643
252 43.2276 4094 3684
253 56.0382 4094 3658
254 33.3424 4093 3651
255 27.2772 4094 3802
256 81.6667 4094 3765
257 63.9946 4094 3671
258 34.8205 4094 3685
259 25.3529 4094 3805
260 44.8955 4093 3826
261 55.88 4093 3791
262 42.7559 4094 3769
263 93.4346 4093 3781
264 60.508 4092 3781
265 53.8804 4094 3821
266 51.1167 4093 3709
267 46.825 4093 3702
268 58.1475 4094 3810
269 31.722 4093 3784
270 59.4779 4094 3665
271 67.1607 4094 3794
272 46.9528 4093 3766
273 97.9056 4094 3715
274 37.2651 4095 3716
275 34.9067 4093 3660
276 46.2622 4094 3673
277 39.4945 4091 3646
278 41.671 4094 3687
279 48.7106 4091 3869
280 103.543 4093 3819
281 37.304 4094 3784
282 43.3709 4093 3707
283 36.1554 4093 3681
284 53.7913 4094 3680
285 68.704 4094 3690
286 102.698 4094 3664
287 75.3723 4093 3743
288 40.5946 4093 3657
289 39.5059 4092 3713
290 40.0242 4093 3679
291 73.5068 4093 3790
292 41.5405 4094 3661
293 46.6542 4094 3660
294 42.1918 4094 3690
295 41.3539 4094 3681
296 48.703 4094 3657
297 68.719 4093 3645
298 90.5184 4094 3768
299 37.6562 4093 3800
300 36.9421 4094 3676
301 38.3297 4094 3683
302 49.6161 4094 3864
303 34.7834 4093 3790
304 45.9254 4094 3805
305 52.5807 4095 3787
306 41.613 4093 3765
307 56.9687 4094 3789
308 38.1826 4094 3802
309 86.705 4095 3685
310 71.5363 4095 3645
311 36.3723 4092 3684
312 35.6382 4094 3786
313 31.9118 4095 3686
314 52.4964 4093 3771
315 63.5173 4093 3857
316 114.495 4093 3713
317 40.997 4092 3740
318 56.3272 4094 3679
319 43.0356 4094 3720
320 55.108 4094 3704
321 79.8359 4093 3803
322 45.0238 4091 3818
323 106.559 4094 3802
324 47.2813 4094 3736
325 75.3179 4093 3632
326 28.3171 4094 3717
327 64.71 4093 3784
328 47.2253 4093 3805
329 82.8251 4094 3693
330 56.9712 4094 3874
331 47.3523 4094 3685
332 100.113 4094 3701
333 49.9749 4093 3655
334 34.0179 4095 3807
335 40.5963 4094 3743
336 44.8761 4093 3668
337 37.6943 4093 3721
338 45.0386 4094 3696
339 96.1594 4094 3656
340 54.9196 4094 3704
341 75.0604 4094 3760
342 56.8321 4093 3791
343 42.9516 4093 3714
344 44.8301 4093 3667
345 46.5777 4091 3800
346 33.8189 4094 3749
347 42.0493 4093 3758
348 34.4654 4092 3812
349 47.2839 4094 3812
350 44.5969 4095 3806
351 47.79 4094 3817
352 63.324 4094 3676
353 44.6253 4093 3677
354 41.284 4094 3823
355 43.0477 4094 3795
356 28.4369 4094 3729
357 59.5065 4093 3775
358 38.3707 4093 3782
359 82.798 4095 3700
360 62.802 4092 3720
361 47.2654 4095 3716
362 31.8774 4092 3695
363 65.7522 4092 3659
364 35.6824 4092 3711
365 55.0268 4093 3772
366 77.3797 4094 3803
367 70.3236 4095 3721
368 47.3097 4094 3717
369 71.2313 4094 3773
370 66.3799 4094 3770
371 46.9435 4094 3781
372 60.333 4093 3649
373 63.0277 4094 3820
374 54.8471 4092 10414
375 53.629 4095 9316
376 42.1188 4094 8379
377 100.938 4092 7606
378 25.0926 4093 7180
379 38.9244 4094 6839
380 32.0984 4093 6428
381 38.5881 4094 6122
382 62.7354 4094 5835
383 56.4716 4094 5626
384 63.3126 4093 5350
385 39.0261 4094 5162
386 47.4836 4094 10560
387 40.6825 4094 9053
388 48.7881 4094 10547
389 79.1276 4094 9640
390 54.1971 4092 10513
391 50.0922 4092 9203
392 33.1628 4093 10494
393 110.289 4094 10533
394 78.9902 4094 9721
395 59.4425 4092 8543
396 65.6762 4094 10495
397 69.0335 4095 5912
398 38.8459 4094 4414
399 54.2516 4094 4350
400 42.8814 4092 4250
401 57.7063 4092 4150
402 60.1345 4094 4021
403 81.0491 4093 3673
404 50.733 4093 3667
405 54.6454 4093 3647
406 45.7234 4092 3655
407 65.1238 4094 3779
408 59.7232 4093 3812
409 56.0583 4094 3635
410 41.8512 4093 3729
411 54.2914 4094 3632
412 51.8418 4094 3699
413 39.3797 4093 3719
414 52.0753 4094 3686
415 43.6571 4092 3790
416 49.8614 4093 3789
417 55.677 4093 3659
418 52.636 4092 3670
419 58.0842 4093 3686
420 55.024 4093 3762
421 88.0499 4094 3661
422 41.3685 4093 3643
423 46.2152 4095 3664
424 93.043 4094 3635
425 29.7523 4093 3721
426 32.4938 4093 3676
427 83.0835 4093 3777
428 108.109 4093 3679
429 63.8013 4093 3681
430 55.6612 4094 3638
431 131.713 4092 3834
