N_3 Number_of_polymers
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 1
24 7
25 33
26 168
27 481
28 1288
29 2795
30 4429
31 5521
32 5053
33 3513
34 1592
35 501
36 102
37 16
38 0
39 0
