N_3 Number_of_polymers
0 7
1 124
2 818
3 2679
4 5311
5 6703
6 5707
7 3636
8 1694
9 600
10 172
11 43
12 6
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
