N_3 Number_of_polymers
0 0
1 0
2 7
3 65
4 327
5 1238
6 2753
7 4578
8 5754
9 5429
10 3937
11 2339
12 1053
13 380
14 112
15 22
16 6
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
