N_3 Number_of_polymers
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 2
27 11
28 25
29 155
30 545
31 1658
32 3731
33 6011
34 6291
35 4409
36 1751
37 380
38 29
39 2
