Polymer_Index R_g^2 N_3 Sample_Time(10^(-6)s)
0 3.01074 15 21
1 2.41211 15 20
2 1.34473 15 23
3 2.9668 15 20
4 5.72363 15 21
5 3.28613 15 19
6 2.3291 15 21
7 1.57617 15 19
8 1.64941 15 21
9 3 15 19
10 4.13086 15 24
11 2.37598 15 19
12 2.54004 15 20
13 2.62988 15 19
14 2.74512 15 25
15 2.16113 15 19
16 2.30176 15 31
17 2.52441 15 20
18 3.04785 15 21
19 2.09473 15 20
20 2.6748 15 25
21 2.15918 15 19
22 2.41992 15 24
23 3.18848 15 19
24 2.33887 15 21
25 2.57324 15 19
26 2.66895 15 21
27 1.87305 15 19
28 2.24023 15 21
29 1.62109 15 19
30 2.15137 15 22
31 3.4873 15 23
32 1.77832 15 21
33 1.72754 15 19
34 1.2373 15 34
35 2.42188 15 20
36 1.83887 15 21
37 1.9248 15 19
38 2.36816 15 21
39 3.33496 15 19
40 3.53418 15 21
41 3.37402 15 19
42 2.88965 15 20
43 1.6748 15 20
44 2.93652 15 23
45 2.96582 15 20
46 2.70605 15 21
47 1.5166 15 19
48 1.92188 15 21
49 3.20996 15 19
50 3.03516 15 21
51 3.74121 15 24
52 2.22168 15 21
53 3.5791 15 20
54 1.47754 15 21
55 3.76855 15 20
56 3.5127 15 21
57 1.97852 15 19
58 1.63965 15 21
59 1.99902 15 19
60 1.62598 15 21
61 2.88574 15 32
62 3.56543 15 21
63 2.65527 15 19
64 2.69824 15 21
65 2.40918 15 20
66 1.86328 15 20
67 3.25586 15 21
68 3.83301 15 19
69 2.40918 15 21
70 2.59668 15 19
71 2.15723 15 21
72 3.21875 15 19
73 3.75586 15 21
74 2.99805 15 19
75 1.68164 15 21
76 6.68555 15 19
77 2.43262 15 21
78 2.61621 15 19
79 2.15137 15 21
80 2.78711 15 19
81 2.80957 15 20
82 2.79785 15 19
83 3.02734 15 21
84 1.89551 15 19
85 2.68066 15 21
86 2.46191 15 19
87 2.97461 15 21
88 4.22363 15 19
89 3.32324 15 21
90 1.75098 15 19
91 2.44824 15 21
92 2.70605 15 21
93 1.67676 15 21
94 4.04395 15 20
95 2.30957 15 21
96 2.66895 15 19
97 2.69434 15 21
98 1.80762 15 20
99 1.80176 15 21
100 2.7998 15 20
101 1.8418 15 21
102 1.59375 15 19
103 1.79395 15 21
104 2.16113 15 23
105 2.25977 15 21
106 3.09961 15 31
107 2.37012 15 20
108 1.5127 15 19
109 1.76855 15 21
110 2.28223 15 20
111 3.33398 15 20
112 2.52637 15 24
113 2.93555 15 21
114 1.32617 15 19
115 2.7627 15 20
116 2.07129 15 20
117 1.61426 15 20
118 3.48926 15 20
119 2.14648 15 21
120 2.19922 15 19
121 2.70605 15 20
122 2.36328 15 19
123 2.94922 15 20
124 2.04102 15 19
125 2.97266 15 21
126 4.37793 15 19
127 2.59473 15 21
128 2.39746 15 20
129 4.47168 15 33
130 4.8584 15 19
131 2.21094 15 21
132 2.05371 15 19
133 5.35449 15 21
134 2.2373 15 20
135 4.54492 15 21
136 1.90918 15 20
137 3.24316 15 21
138 4.52637 15 20
139 3.32324 15 21
140 1.79297 15 19
141 2.86328 15 21
142 2.25684 15 19
143 1.7959 15 20
144 2.83887 15 19
145 2.49609 15 21
146 4.0166 15 20
147 2.50098 15 21
148 2.43164 15 19
149 3.29492 15 21
150 3.64844 15 20
151 2.65723 15 21
152 3.0625 15 20
153 1.92285 15 21
154 1.85254 15 19
155 3.27832 15 21
156 1.99707 15 19
157 2.18848 15 21
158 1.94336 15 19
159 1.94141 15 21
160 2.47363 15 19
161 2.46973 15 21
162 3.04004 15 19
163 3.15723 15 20
164 1.93262 15 19
165 2.94434 15 21
166 3.37402 15 19
167 6.2998 15 21
168 4.3418 15 20
169 3.96191 15 21
170 2.68066 15 20
171 2.14551 15 21
172 2.30664 15 32
173 2.77637 15 21
174 2.54297 15 19
175 1.9043 15 21
176 2.64648 15 19
177 2.53516 15 21
178 1.87305 15 25
179 4.33691 15 20
180 3.35742 15 20
181 2.87012 15 21
182 1.64648 15 20
183 2.14746 15 21
184 3.52246 15 19
185 2.7627 15 21
186 2.19434 15 20
187 1.87598 15 21
188 1.42871 15 20
189 3.2168 15 21
190 2.1748 15 19
191 2.08496 15 21
192 1.89453 15 19
193 3.73145 15 21
194 2.63379 15 19
195 2.29004 15 21
196 1.33301 15 20
197 4.05566 15 21
198 4.43652 15 19
199 2.06934 15 21
200 2.45215 15 20
201 2.32324 15 21
202 2.52734 15 22
203 1.70996 15 21
204 2.13574 15 19
205 2.2959 15 21
206 2.22461 15 19
207 4.2334 15 21
208 2.30078 15 19
209 1.82715 15 20
210 4.61035 15 20
211 1.5752 15 21
212 1.78027 15 24
213 1.7041 15 21
214 3.97461 15 19
215 2.66504 15 21
216 3.02539 15 19
217 1.36035 15 20
218 3.47168 15 19
219 3.1123 15 21
220 2.64355 15 20
221 2.24512 15 20
222 2.61816 15 20
223 3.22949 15 21
224 3.69238 15 20
225 3.23145 15 21
226 2.70215 15 19
227 1.91406 15 21
228 4.29785 15 19
229 3.53809 15 21
230 2.8584 15 20
231 4.39941 15 21
232 3.42676 15 19
233 1.86426 15 20
234 3.26855 15 19
235 2.19043 15 21
236 2.36816 15 19
237 3.36816 15 21
238 3.69922 15 20
239 2.5752 15 21
240 2.62988 15 20
241 1.7959 15 21
242 1.63184 15 20
243 2.53613 15 21
244 4.26465 15 19
245 2.0752 15 20
246 6.23047 15 20
247 3.88867 15 23
248 2.16309 15 19
249 1.76074 15 20
250 3.4248 15 19
251 2.30371 15 24
252 2.69434 15 20
253 3.86816 15 30
254 2.77246 15 20
255 1.81055 15 21
256 3.42676 15 20
257 1.7627 15 29
258 1.98926 15 32
259 3.41113 15 19
260 1.80176 15 19
261 3.6123 15 19
262 1.91992 15 19
263 4.06934 15 19
264 1.78809 15 19
265 2.04199 15 19
266 1.84082 15 19
267 4.58301 15 19
268 2.37793 15 19
269 2.50098 15 19
270 1.94629 15 19
271 5.14746 15 19
272 3.50391 15 19
273 2.05078 15 19
274 1.97168 15 19
275 5.8291 15 19
276 3.27734 15 19
277 1.48535 15 24
278 2.53418 15 19
279 2.9834 15 19
280 3.11621 15 19
281 2.35449 15 19
282 4.19629 14 19
283 1.45117 15 19
284 3.15332 15 19
