N_3 Number_of_polymers
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 6
15 22
16 83
17 347
18 788
19 1723
20 3027
21 4337
22 5260
23 4983
24 4084
25 2627
26 1396
27 554
28 198
29 52
30 10
31 3
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
