N_3 Number_of_polymers
0 391
1 2679
2 6527
3 8122
4 6173
5 2828
6 996
7 242
8 37
9 5
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
