Polymer_Index R_g^2 N_3 Sample_Time(10^(-6)s)
0 33.6292 65 356
1 56.1564 50 377
2 75.6251 52 390
3 35.7293 51 345
4 105.801 48 359
5 38.1054 50 373
6 39.5921 57 346
7 49.024 55 371
8 41.9252 54 366
9 38.3975 50 364
10 22.3681 52 366
11 66.0932 48 367
12 36.6808 51 368
13 89.7548 52 368
14 50.1194 41 389
15 44.1748 51 398
16 35.0116 57 389
17 47.0149 52 362
18 57.6994 51 410
19 58.5922 63 333
20 40.918 53 332
21 34.5516 48 327
22 45.7247 47 345
23 51.1831 50 351
24 47.3102 53 333
25 50.1049 53 360
26 59.9856 55 331
27 44.6906 57 372
28 88.7095 46 329
29 68.9649 47 347
30 35.6298 54 330
31 50.0083 51 356
32 75.9369 37 377
33 43.2633 56 393
34 45.7644 53 365
35 37.9982 52 389
36 49.3262 50 366
37 46.2074 48 345
38 62.5453 48 353
39 50.2096 55 347
40 38.9845 50 353
41 24.5279 49 348
42 36.4346 59 342
43 37.9569 55 390
44 119.871 48 361
45 47.2488 52 341
46 75.3048 51 405
47 53.8867 48 336
48 50.8661 56 356
49 46.9387 50 356
50 57.6631 43 359
51 90.4328 61 395
52 41.811 44 372
53 37.0035 57 360
54 73.5076 53 378
55 67.7448 50 363
56 40.2731 46 355
57 39.0537 55 382
58 53.2965 57 357
59 26.8631 59 383
60 58.5427 52 343
61 69.0076 53 390
62 60.0921 55 380
63 28.3558 48 342
64 48.8205 45 410
65 52.8374 47 366
66 47.1965 48 359
67 82.5227 55 332
68 42.5905 67 352
69 64.6022 54 374
70 52.6239 55 383
71 47.1593 55 381
72 67.5667 55 371
73 39.0289 53 346
74 27.1307 58 372
75 54.1352 55 394
76 56.3458 56 393
77 33.5542 58 375
78 47.2992 58 373
79 51.3023 58 367
80 51.5581 55 347
81 92.8717 49 356
82 49.9278 55 387
83 34.2141 54 418
84 119.772 45 409
85 64.7705 47 361
86 45.5762 54 368
87 44.384 57 376
88 53.4362 52 357
89 69.6025 54 392
90 33.4362 53 427
91 29.3401 57 379
92 29.1851 51 331
93 27.5922 55 365
94 89.7417 50 365
95 41.8309 56 369
96 72.4555 61 423
97 83.4512 56 369
98 42.0313 53 365
99 43.529 57 367
100 112.507 51 364
101 78.5524 45 393
102 26.5828 55 368
103 53.2903 54 340
104 61.4997 49 389
105 67.7775 48 377
106 41.8944 57 363
107 57.0451 54 344
108 61.1515 53 357
109 36.5839 59 401
110 57.509 47 359
111 65.9303 51 328
112 39.6097 48 332
113 83.3333 57 329
114 64.064 51 369
115 41.9021 49 404
116 112.684 56 361
117 47.0383 52 352
118 42.0246 44 344
119 102.446 45 337
120 37.6482 49 387
121 48.644 59 407
122 38.7833 56 372
123 80.3172 50 330
124 100.421 54 339
125 28.0189 61 396
126 36.058 48 442
127 44.8936 50 382
128 62.0658 55 362
129 34.2673 55 372
130 45.6377 47 374
131 47.708 56 387
132 69.3787 54 367
133 58.9407 47 369
134 32.0398 45 348
135 83.5904 53 377
136 64.5051 44 402
137 49.7264 52 380
138 57.9584 48 369
139 49.4935 52 368
140 46.6556 51 367
141 98.7878 45 377
142 62.9076 53 384
143 50.6017 54 346
144 52.1036 50 346
145 35.859 47 394
146 65.9687 57 368
147 51.1269 52 344
148 24.5191 53 346
149 37.9356 60 393
150 58.4686 46 377
151 58.6389 61 331
152 39.3446 49 367
153 124.829 54 422
154 48.8174 59 366
155 69.7877 46 341
156 42.3118 56 385
157 33.4815 45 387
158 62.3374 59 370
159 98.4163 47 342
160 51.9123 49 385
161 29.5058 54 411
162 68.9818 47 385
163 50.3192 53 374
164 40.0732 57 364
165 95.2973 53 328
166 39.0983 55 422
167 35.2905 49 384
168 81.1518 52 368
169 39.2932 48 347
170 27.0994 55 329
171 34.186 57 389
172 24.017 51 380
173 80.3341 51 364
174 38.1077 57 363
175 52.6437 62 359
176 38.2725 54 443
177 51.8963 49 372
178 80.5557 49 352
179 55.6084 55 352
180 40.3997 63 430
181 56.5498 55 384
182 32.4074 61 384
183 31.8104 57 367
184 74.1426 45 363
185 44.2429 44 393
186 45.749 52 419
187 75.1738 55 370
188 74.5788 52 370
189 47.354 60 361
190 64.577 54 402
191 91.4842 53 360
192 39.9505 46 363
193 47.2751 51 357
194 55.416 50 436
195 51.7282 58 401
196 65.7854 44 371
197 41.6033 51 351
198 113.336 54 380
199 37.6909 50 414
200 54.0121 62 416
201 86.9942 44 379
202 39.604 56 372
203 48.0816 52 371
204 39.2811 48 362
205 30.8599 47 404
206 48.6437 50 373
207 70.8611 43 424
208 58.0479 60 376
209 45.8368 54 361
210 56.3242 48 373
211 60.8909 48 396
212 42.6197 41 359
213 23.1892 53 379
214 60.515 45 385
215 73.9756 53 377
216 48.1368 57 367
217 34.9594 62 369
218 34.0097 57 419
219 59.7743 54 377
220 83.7523 58 379
221 49.8494 57 353
222 52.0934 48 354
223 59.3966 50 410
224 32.8143 58 408
225 55.139 47 371
226 31.1678 48 375
227 58.4703 59 371
228 64.6948 64 369
229 82.4989 54 349
230 50.8712 44 353
231 55.1023 58 412
232 57.9677 55 390
233 89.1753 60 372
234 77.5512 49 371
235 65.1894 60 371
236 26.0722 61 354
237 66.5996 55 352
238 44.6541 48 418
239 57.4006 50 369
240 70.4405 55 370
241 37.7945 53 355
242 61.9482 49 359
243 35.242 54 353
244 157.858 52 388
245 31.6995 51 414
246 92.0348 48 391
247 70.0774 48 376
248 49.7095 58 390
249 85.3601 51 367
250 56.9514 59 368
251 61.1483 49 372
252 35.8192 51 411
253 26.3007 54 371
254 35.1108 48 366
255 28.899 49 353
256 69.9412 63 417
257 48.3439 49 403
258 39.4581 50 395
259 34.3327 51 380
260 30.5861 51 368
261 31.2724 62 378
262 46.2125 59 371
263 39.3051 51 354
264 36.443 51 379
265 49.727 49 396
266 50.4455 56 367
267 26.1885 58 376
268 47.9938 54 371
269 48.7223 55 377
270 60.4901 55 400
271 49.5884 50 374
272 56.0823 55 374
273 40.823 58 374
274 47.8845 46 409
275 110.019 52 418
276 49.8406 47 367
277 38.3372 47 376
278 60.5006 47 374
279 63.97 53 367
280 103.532 55 392
281 78.8523 43 411
282 39.5818 53 385
283 37.0512 50 383
284 40.7448 51 382
285 58.031 52 389
286 44.8811 52 371
287 67.8341 57 339
288 49.2747 62 361
289 39.4105 50 377
290 35.437 57 374
291 70.0474 53 330
292 59.2667 48 367
293 53.5971 39 389
294 57.632 45 363
295 82.2997 57 377
296 32.0725 55 371
297 43.8728 51 350
298 39.5432 55 361
299 34.1202 49 373
300 51.9952 42 343
301 64.6785 49 431
302 70.734 59 405
303 57.1541 43 328
304 48.6999 60 412
305 23.4624 51 365
306 55.5691 57 350
307 69.8581 45 422
308 20.3173 58 396
309 59.6651 64 416
310 47.0087 54 372
311 53.9383 47 355
312 37.1497 54 372
313 70.9514 53 410
314 49.5492 47 365
315 31.7353 56 374
316 46.4062 49 373
317 46.52 51 364
318 103.156 57 406
319 33.4607 47 417
320 48.2478 53 373
321 49.7471 53 354
322 68.7447 58 370
323 28.6022 50 410
324 42.3379 55 423
325 35.7536 46 370
326 39.504 55 364
327 54.2003 56 389
328 46.7588 55 382
329 49.1353 56 344
330 34.2617 51 355
331 53.1306 51 421
332 78.9104 54 413
333 42.9538 55 377
334 53.2376 44 352
335 83.7599 49 370
336 92.8127 47 351
337 60.8428 54 368
338 58.7608 48 353
339 46.8287 52 365
340 44.6996 51 393
341 42.6947 59 411
342 35.9091 61 386
343 40.6765 51 375
344 72.7529 54 384
345 137.653 57 369
346 34.2298 60 343
347 64.3807 57 428
348 58.6771 58 404
349 74.7993 46 366
350 52.5139 51 387
351 40.437 55 362
352 42.1411 54 372
353 43.1002 53 386
354 94.6092 52 373
355 46.1307 62 386
356 48.9704 60 356
357 32.1049 62 419
358 29.082 52 417
359 42.9104 61 368
360 60.1908 47 378
361 50.946 51 368
362 41.4517 48 369
363 45.138 50 364
364 43.6128 50 439
365 71.3854 49 417
366 159.851 49 368
367 30.9255 55 349
368 41.9244 50 367
369 83.7051 47 360
370 39.6399 46 390
371 114.231 57 428
372 50.8518 50 382
373 60.4728 49 366
374 46.6521 45 353
375 21.9911 47 352
376 23.1572 52 354
377 56.4441 48 399
378 66.872 52 394
379 62.6306 52 361
380 58.564 54 411
381 36.5225 54 335
382 52.6613 49 363
383 53.2896 51 365
384 37.6449 54 419
385 45.0144 54 395
386 62.7086 58 364
387 37.7227 53 388
388 59.8444 45 371
389 70.3344 51 382
390 32.3029 47 364
391 30.9425 52 355
392 35.9562 66 386
393 37.3579 58 376
394 20.758 51 376
395 29.0436 61 366
396 46.4281 50 393
397 36.2987 54 391
398 36.8692 54 383
399 35.3508 51 374
400 37.5817 51 372
401 77.2586 51 391
402 45.9957 47 409
403 65.1555 50 374
404 68.3177 56 365
405 51.7151 59 346
406 56.9473 60 363
407 40.498 51 383
408 76.7785 48 372
409 59.706 57 379
410 36.6615 52 342
411 50.4891 43 354
412 51.9721 51 404
413 44.6812 50 388
414 65.2445 49 367
415 35.4991 43 352
416 44.0566 52 367
417 42.768 51 362
418 41.9041 54 395
419 88.8927 50 372
420 31.8297 53 358
421 82.1769 49 364
422 37.5837 47 370
423 41.5931 51 425
424 41.4622 56 440
425 58.978 49 387
426 37.9699 54 382
427 37.1918 47 384
428 78.4418 51 351
429 44.2909 47 372
430 54.3153 54 386
431 38.6286 54 422
432 84.359 49 357
433 53.6577 52 368
434 53.7672 50 381
435 97.6052 57 366
436 91.6198 54 407
437 34.6057 45 366
438 43.7659 54 391
439 87.2093 42 358
440 55.0313 53 378
441 27.8018 57 378
442 32.7601 42 359
443 42.0385 58 371
444 40.5887 52 331
445 52.4335 48 341
446 50.7681 51 357
447 66.362 57 354
448 43.8288 43 368
449 48.5889 57 347
450 68.7762 55 331
451 38.9784 48 370
452 49.1038 52 354
453 74.7726 48 323
454 53.1459 53 362
455 83.3634 57 370
456 97.9209 53 375
457 33.7364 46 400
458 44.8722 56 402
459 50.0715 51 334
460 26.9507 58 387
461 43.4053 42 368
462 39.0174 55 415
463 35.9403 48 360
464 56.2369 52 389
465 61.7027 45 392
466 43.3642 56 345
467 51.9912 57 349
468 72.24 53 397
469 49.2684 54 393
470 52.6255 42 324
471 69.604 54 359
472 76.5761 55 382
473 43.7569 55 391
474 43.8527 53 359
475 58.6646 55 355
476 52.8411 54 361
477 29.2226 48 377
478 91.2692 57 426
479 37.8177 54 352
480 25.9467 54 360
481 72.0961 46 360
482 54.9906 45 360
483 47.2204 49 355
484 34.0549 59 368
485 71.7598 55 352
486 64.9947 52 345
487 102.991 52 397
488 52.427 48 416
489 52.5806 62 371
490 59.051 52 363
491 60.9588 46 372
492 32.1111 53 354
493 49.8274 59 394
494 69.749 51 365
495 24.9724 56 346
496 77.054 50 400
497 58.8562 54 345
498 34.1578 53 420
499 42.903 50 331
500 42.2548 59 410
501 77.1474 54 332
502 34.0091 55 391
503 43.6182 53 327
504 46.2961 53 331
505 64.4481 48 360
506 53.8155 45 432
507 52.2984 49 390
508 81.8784 49 355
509 95.8029 44 370
510 45.9707 63 392
511 59.2841 57 360
512 61.1192 50 327
513 58.3675 53 347
514 41.632 49 417
515 59.1388 57 397
516 24.8152 58 374
517 80.9777 50 358
518 45.5005 67 375
519 77.2725 57 419
520 80.5455 45 382
521 62.5631 52 369
522 50.187 52 385
523 55.0049 49 370
524 61.0991 52 387
525 50.615 48 381
526 50.9945 49 367
527 32.864 49 371
528 119.407 43 355
