N_3 Number_of_polymers
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 1
19 3
20 33
21 97
22 347
23 912
24 1979
25 3492
26 4946
27 5417
28 4802
29 3233
30 1779
31 713
32 204
33 33
34 6
35 3
36 0
37 0
38 0
39 0
