N_3 Number_of_polymers
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 1
10 11
11 61
12 228
13 625
14 1452
15 2654
16 4187
17 4914
18 5025
19 4138
20 2917
21 1634
22 766
23 258
24 104
25 20
26 4
27 1
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
