Polymer_Index R_g^2 N_3 Sample_Time(10^(-6)s)
0 3.79785 14 21
1 1.50879 14 22
2 2.39746 15 33
3 2.19141 14 20
4 2.17676 14 19
5 2.05664 14 19
6 2.12012 14 20
7 2.70215 14 20
8 1.89551 14 17
9 1.74121 13 20
10 2.79395 15 21
11 2.50879 14 19
12 4.18066 14 32
13 1.6709 14 36
14 2.90234 14 20
15 2.71387 13 23
16 2.08105 14 19
17 2.77637 15 32
18 1.46777 15 21
19 2.28516 14 27
20 2.12988 14 20
21 2.24512 14 19
22 3.94434 14 19
23 2.65234 15 20
24 2.89941 14 19
25 4.70996 14 19
26 2.83887 15 20
27 2.74023 15 24
28 2.69043 14 19
29 2.89551 14 19
30 2.9043 15 19
31 3.77441 15 24
32 1.80371 13 19
33 2.27832 15 30
34 1.79004 14 21
35 3.74414 14 19
36 1.61816 14 19
37 1.62402 14 19
38 3.33301 14 19
39 2.35645 15 22
40 4.8916 15 19
41 1.4834 14 21
42 3.22852 14 19
43 3.51855 15 21
44 3.52441 14 20
45 2.61621 15 20
46 2.28125 14 19
47 1.69238 14 21
48 5.81836 12 19
49 3.23145 15 21
50 3.80469 15 20
51 4.86816 14 28
52 1.75879 14 19
53 1.84082 14 19
54 3.63965 14 19
55 1.95996 14 31
56 3.61035 14 19
57 2.15039 12 19
58 1.64941 12 19
59 2.67969 14 18
60 1.95215 13 19
61 2.09668 13 18
62 2.18066 14 18
63 2.1709 14 21
64 4.62109 15 20
65 2.3623 15 21
66 3.41309 14 32
67 2.95898 14 19
68 1.98242 15 26
69 3.3916 14 21
70 4.38477 14 19
71 2.84863 15 20
72 2.58301 15 19
73 1.72363 15 20
74 1.71777 15 20
75 2.78223 14 24
76 2.79492 14 20
77 2.12305 15 20
78 1.98145 14 19
79 3.47266 14 19
80 2.19629 15 20
81 3.52637 14 20
82 2.52051 15 20
83 1.97949 15 21
84 4.22461 14 18
85 2.35547 15 19
86 2.8291 14 21
87 3.7041 14 19
88 5.57324 15 20
89 2.31543 14 21
90 2.84961 14 19
91 2.09082 13 19
92 2.72754 14 19
93 1.5752 13 21
94 1.97559 14 19
95 3.42871 13 29
96 2.28027 15 20
97 1.90723 14 23
98 5.37305 14 19
99 2.05371 14 20
100 1.70801 15 19
101 1.5459 15 19
102 1.99121 13 32
103 3.50879 14 19
104 5.1377 13 18
105 1.58887 15 19
106 2.61035 13 20
107 2.64355 15 19
108 2.07129 13 19
109 1.93457 14 19
110 2.32129 14 18
111 3.44043 15 19
112 2.6123 15 19
113 2.91113 15 19
114 2.85254 14 19
115 2.27637 14 19
116 2.08691 14 19
117 3.14453 15 19
118 3.02637 15 19
119 2.59082 15 19
120 2.95117 15 19
121 1.99512 14 18
122 2.2627 14 18
123 2.18262 15 19
124 3.14746 14 19
125 2.90137 15 19
126 1.59082 15 19
127 2.32324 15 19
128 1.84668 14 18
129 3.8877 14 21
130 3.52051 14 19
131 3.3916 14 19
132 3.5127 15 19
133 2.1123 14 19
134 2.00098 15 21
135 2.66113 14 19
136 3.65332 15 19
137 3.07422 14 21
138 2.91504 14 19
139 3.06934 13 20
140 3.63184 13 19
141 3.0791 14 19
142 2.3623 14 23
143 3.02148 14 27
144 3.16113 13 22
145 5.82617 14 19
146 2.01855 15 20
147 2.27832 15 19
148 2.77832 15 21
149 2.46582 14 19
150 3.33496 14 19
151 1.99219 14 19
152 1.86035 14 19
153 1.57129 15 18
154 2.49512 14 19
155 2.07422 14 21
156 3.12891 15 20
157 2.86523 13 18
158 1.41113 15 19
159 3.17871 12 19
160 1.99805 14 17
161 1.37988 14 19
162 2.19629 13 18
163 2.49512 14 19
164 3.71777 15 19
165 3.23145 14 18
166 1.94727 14 19
167 3.33691 13 19
168 5.56836 15 19
169 2.40234 14 19
170 2.20605 13 19
171 4.03223 15 19
172 2.81152 14 18
173 3.08691 13 19
174 2.45215 14 31
175 4.4541 15 19
176 3.03711 15 25
177 2.55762 13 19
178 2.17578 14 19
179 3.29785 14 19
180 2.12793 15 19
181 2.35059 14 19
182 2.87793 14 19
183 2.5752 14 19
184 2.73145 14 19
185 1.7334 14 30
186 2.27832 13 19
187 2.48926 15 34
188 2.12598 14 18
189 2.21973 15 18
190 2.08301 14 19
191 2.89746 14 31
192 2.67285 15 19
193 2.18066 15 22
194 2.0791 12 20
195 3.25684 14 20
196 2.69629 14 32
197 2.06152 14 19
198 2.4502 15 19
199 2.07227 13 19
200 1.44824 14 18
201 2.78906 14 19
202 2.08887 14 19
203 3.57324 15 19
204 2.78516 14 39
205 2.25684 15 19
206 2.63672 15 19
207 1.54297 14 27
208 2.45898 14 19
209 1.82715 14 19
210 6.10059 14 19
211 2.64355 15 19
212 2.89746 15 20
213 1.80566 14 17
214 2.10449 15 18
215 3.20605 14 19
216 4.41699 14 17
217 2.98145 15 21
218 2.40918 15 21
219 4.11426 14 21
220 1.98828 15 20
221 2.4248 14 19
222 2.61035 15 20
223 2.67676 14 19
224 3.01855 13 19
225 1.79395 14 39
226 2.21582 13 19
227 3.66797 14 19
228 2.9209 14 20
229 3.69434 13 20
230 2.93262 13 23
231 2.49707 14 29
232 1.31641 15 20
233 2.47754 15 22
234 1.80762 15 19
235 3.76367 14 20
236 2.99316 13 20
237 3.73145 14 29
238 3.30566 14 23
239 2.05176 15 22
240 2.95312 15 20
241 4.49512 14 19
242 3.2998 14 39
243 3.2002 14 19
244 2.58789 15 19
245 2.68652 15 19
246 3.19434 15 19
247 3.06055 14 21
248 2.53809 15 20
249 2.20996 13 18
250 2.72168 14 19
251 2.27051 15 19
252 4.14648 14 19
253 4.26172 13 18
254 1.80078 13 19
255 3.44434 13 18
256 1.61816 15 20
257 4.00293 13 21
258 3.46582 15 20
259 4.47363 13 21
260 1.59863 14 24
261 2.91895 14 19
262 1.8916 14 19
263 2.0498 15 19
264 3.63574 13 19
265 3.17871 14 19
266 2.09473 14 18
267 1.76465 14 19
268 1.70996 14 21
269 1.87012 15 36
270 3.00293 14 21
271 1.41406 13 32
272 1.9209 14 20
273 1.47461 14 36
274 2.0166 14 18
275 3.29004 13 19
276 2.38965 14 18
277 2.09473 14 19
278 1.99512 14 18
279 2.18848 15 24
280 4.56055 15 19
281 4.27539 14 19
282 2.07812 15 20
283 2.61035 14 19
284 2.59863 14 19
285 6.60449 15 21
286 3.42969 15 20
287 2.12109 15 21
288 2.76172 15 28
289 1.60254 14 21
290 2.4873 14 27
291 2.53223 14 32
292 2.12402 14 19
293 2.24414 14 19
294 2.63477 14 19
295 3.86328 14 19
296 3.01074 14 19
297 2.07715 13 19
298 1.69824 14 24
299 3.58887 13 19
300 3.26465 14 19
301 2.96973 14 19
302 4.95605 15 19
303 6.99023 12 19
304 2.46973 12 19
305 1.68262 14 19
306 2.15234 13 20
307 1.46777 14 23
308 2.50488 14 19
309 2.69824 13 33
310 2.84277 15 20
311 1.58984 14 19
312 1.8291 14 28
313 3.62012 15 19
314 3.37793 14 19
315 2.6377 12 19
316 3.05566 14 19
317 1.90527 14 19
318 4.19434 15 19
319 3.55762 15 19
320 2.60156 14 18
321 5.20996 15 18
322 3.72461 14 19
323 4.7002 14 19
324 1.53223 14 31
325 4.68262 14 17
326 2.29785 14 18
