Polymer_Index R_g^2 N_3 Sample_Time(10^(-6)s)
0 5.42212 28 35
1 6.55151 30 35
2 4.08765 31 45
3 5.40845 30 35
4 3.47217 29 38
5 2.25879 29 31
6 5.28003 28 36
7 6.58398 29 37
8 4.29834 29 35
9 6.95337 29 38
10 3.83423 29 35
11 2.54272 28 33
12 2.30542 28 37
13 5.40356 28 35
14 5.56201 29 36
15 3.22632 30 35
16 2.76587 30 36
17 4.41162 30 35
18 6.06909 30 38
19 2.84692 30 47
20 2.66138 30 38
21 2.59888 29 36
22 5.01147 30 35
23 2.7937 31 48
24 2.67749 31 35
25 4.08032 29 35
26 3.08813 29 35
27 4.32056 29 35
28 5.06665 27 48
29 3.40747 30 34
30 5.00122 30 64
31 5.1062 29 38
32 3.47363 31 36
33 5.2605 29 36
34 5.57056 29 35
35 2.44287 29 36
36 4.74438 29 36
37 3.93823 29 34
38 3.19897 30 38
39 3.11597 29 36
40 4.01245 30 31
41 4.146 28 50
42 4.74341 29 40
43 2.79126 30 34
44 5.25269 29 35
45 5.28784 30 38
46 3.28882 30 35
47 2.69067 31 32
48 2.62915 30 36
49 4.43994 29 47
50 2.61255 30 35
51 5.60059 30 32
52 3.81226 28 34
53 2.63159 30 54
54 3.2373 30 36
55 3.2439 29 38
56 3.15894 29 32
57 2.83667 30 36
58 5.42212 30 35
59 8.63501 29 38
60 6.70435 29 47
61 5.30054 30 35
62 7.35181 30 32
63 2.69629 30 31
64 3.01514 30 47
65 4.42554 29 33
66 4.6814 29 38
67 3.30737 28 38
68 2.82788 31 47
69 5.0437 29 39
70 4.86597 30 47
71 4.70654 29 31
72 2.87744 28 50
73 4.61304 30 36
74 2.66187 29 49
75 4.75928 29 34
76 6.27637 29 35
77 3.86523 31 35
78 3.93774 29 35
79 5.39282 27 35
80 3.50952 28 35
81 3.0188 31 35
82 4.18286 30 34
83 3.88037 30 33
84 4.57251 29 49
85 4.83716 29 34
86 3.91577 29 40
87 3.80444 30 34
88 2.75122 30 35
89 3.11572 30 32
90 3.20825 29 57
91 2.91187 30 35
92 2.88403 30 32
93 4.37866 30 35
94 3.04077 30 34
95 5.10449 30 34
96 4.35181 29 39
97 9.45264 29 34
98 3.5835 30 35
99 5.77515 30 36
100 2.64673 30 35
101 5.20459 29 35
102 6.698 28 35
103 2.45874 28 37
104 4.58496 29 35
